Name,Score,Subject,Attendance
evelyn,97,Maths,77
james,,maths,91%
Leo,87,Eng,71
john,64,Maths,
harper,,Maths,92%
Abigail,,Science,77
lucas,50,Eng,92%
Lucas,59,English,100%
leo,55,English,73
ava,88,science,95
JOHN ,84,Science,99%
sophia,,Maths,96
evelyn,86,Eng,92%
sarah,,Maths,94%
liam,56,Maths,78
Isabella,60,Science,81
James,94,Science,
Abigail,,Maths,
tom ,,Eng,75%
Isabella,90,english,
Amelia,,maths,96
Sarah,70,maths,78
sarah,,maths,
noah,,maths,82
Abigail,66,english,77%
Leo,,Eng,93
Harper,,english,81
james,,maths,72
leo,59,Maths,
tom ,,science,89
sarah,88,english,86
olivia,93,Eng,
Anna,,Science,94
Abigail,68,English,75
Isabella,,Maths,
olivia,82,Eng,97%
evelyn,,English,
harper,73,maths,87%
Mia,,Maths,85
john,69,Maths,71%
Olivia,55,Eng,
Ethan,98,science,
anna,,maths,100
Amelia,83,maths,
Lucas,,maths,
henry,,maths,82
abigail,78,Science,
lucas,64,Maths,80%
john,,Eng,88%
james,95,Maths,
